name,brewery,abv,ibu,variety,img,description
Cherry Pie Ale,Wild Leap,6.5,20,Ale,https://wildleap.com/wp-content/uploads/AmericanCherry-Individual.png,"Wild Leap’s American Cherry is a cherry pie ale fermented with sweet and tart cherries, designed to taste like a slice of homemade pie."
Emergency Drinking Beer Watermelon,Wild Heaven,4.3,,Session Ale,https://static.spotapps.co/web/wildheavenbeer--com/custom/beers_new_2/emergency_drinking_beer_watermelon_new_2.png,"Our most popular beer + fresh juiced watermelons, available
in cans for the first time. EDB, our one-of-a-kind light craft
beer with citrus zest and sea salt, proved to be the perfect
base to celebrate summer. Our team hand-juiced watermelons
pils-style session to ensure an authentic flavor."
American Blackberry Ale,Wild Leap,6.5,20,Ale,https://wildleap.com/wp-content/uploads/AmericanBlackberry-Individual.png,American Blackberry is an ale fermented with fresh blackberries designed to taste like a slice of homemade blackberry pie.
Brother Thelonius,North Coast,9.4,27,Belgian Abbey Ale,https://northcoastbrewing.com/wp-content/uploads/2015/07/xBrother-Thelonious-bottle-and-pour-temp.png.pagespeed.ic.2v4vpVUlY-.png,"With all the interest in Belgian ales and in the monasteries that brew them, it’s time to remind the world that here in the U.S. we have a Monk of our own. Jazz legend Thelonious Monk is the inspiration for North Coast Brewing’s Belgian-style Abbey Ale. With an ABV of over 9%, this strong dark ale is rich and robust. Available in a handsome 750 ml bottle with crown and capsule ﬁnish or 12 oz. 4-Packs. The label features the Jazz master himself, a portrait by California artist Eric Grbich."
Dirty Beaches Tropical Wheat,Scofflaw,6.3,45,Wheat Ale,dirtybe https://scofflawbeer.com/wp-content/themes/scofflawbeer/img/SCOFFLAW-DIRTYBEACHES-1000X1000.png aches.png,"A spirited collab originally brewed with our friends at victory brands, this tropical wheat brings waves of island hopping fruit aromas carried on a soft creamy body. no sand in this one—we promise."
Rosetta,Ommegang,5.6,50,Sour Ale,https://www.ommegang.com/wp-content/uploads/2019/02/Rosetta_12oz-complex-bottle.png,"A charming combination of Oud Bruin, a tart Flemish brown ale, and Cuvee Brut, a cheerful cherry beer, Rosetta offers elegance, depth, complexity and an intriguing interplay of tartness and sweetness."
Speedway Stout,Alesmith,12,70,Stout,https://alesmith.com/wp-content/uploads/2020/07/speedwaystout.png,"Speedway Stout’s ominous, pitch-black appearance has become a hallmark of this modern-day classic. Chocolate and roasted malts dominate the flavor, supported by notes of dark fruit, toffee, and caramel. A healthy dose of locally-roasted coffee added to each batch brings out the beer’s dark chocolate flavors and enhances its drinkability. Despite its intensity, Speedway Stout’s fine carbonation and creamy mouthfeel make it very smooth and surprisingly easy to drink. This beer ages very well and will continue to mature for many years to come"
Thai Wheat,Second Self,5.1,18,American Wheat,thai_wheat.png,Our flagship American Wheat. This spicy beer is as exotic as the country that inspired it. This beer uses both fresh lemongrass and ginger to give it a refreshing aroma and taste taking you on a trip across the globe. We keep the beer dry letting the spices stand out on their own giving you a unique experience.
Hoplanta,Atlanta Brewing,6.8,70,India Pale Ale,hoplanta.png,"Updated recipe of an old favorite. This west coast IPA is balanced with bold citrus flavors, brewed with Eureka!, Centennial, and Chinook hops."
Cali Creamsicle,Mother Earth Brewing,5.0,18,Cream Ale,calicreamsicle.png,"Using our flagship ale as a base, we put an even more nostalgic twist on our style-defining brew; simulating your favorite childhood classic. The only difference? You don’t have to chase down the ice cream man. Cali Creamsicle features hints of vanilla and a distinct citrus cream flavor that finishes slightly sweeter than its Cream Ale counterpart. Just as refreshing, just as iconic."
Cali Peaches & Cream,Mother Earth Brewing,5.0,18,Cream Ale,calipeaches.png,"Using our flagship cream ale as a base, we put an even more nostalgic twist on our style-defining brew. Cali Creamin’ Peaches & Cream highlights hints of vanilla and a distinct yellow peach flavor that finishes slightly sweeter than its original Cali Creamin’ counterpart. It’s like Grandma’s peach cobbler, but cold, carbonated, and without all the guilt."
San Diego State Ale,Alesmith,4.7,,Ale,sdsu.png,"State Ale, our collaboration with San Diego State University, is the ultimate easy drinker during all sun-soaked activities. It’s the perfect complement to stadium tailgates, backyard barbecues, and ritualistic pregame traditions. We brewed it for you, your friends, and the loyal SDSU fans."
Evil Dead Red,Alesmith,6.66,10,Red Ale,https://alesmith.com/wp-content/uploads/2022/08/Evil-Dead-Red-16oz-Can_web.png,"Back from the dead and deep blood-red in color, this hoppy red ale has an intense aroma of pine and citrus from an abundance of American hops balances the sweetness and rich, bready flavors of this beer’s caramel malts. The result is a fiendishly smooth brew that will make your taste buds scream with delight. Pair it with toffee, caramel apples, or your favorite horror flick!"
No Hype,Bagby Beer,5.0,,Lager,https://images.squarespace-cdn.com/content/v1/52f07132e4b0aa3b720c623f/1623351633802-XGRH1NB8PL08ZUEYXTCG/No+Hype+TRIPLE+MOCK.png?format=1000w,"None, Nada, Zilch. Not an ounce of hype, in fact. And this is exactly how we like it. There’s actually no space for hype in this beer. It’s plenty full of German malt and just a kiss of European hops. Anything else would be, well, wrong."
Sculpin,Ballast Point,7.0,70,India Pale Ale,https://ballastpoint.com/wp-content/uploads/2018/03/12oz_Single_Sculpin-Front.png,"Our Sculpin IPA is a great example of what got us into brewing in the first place. After years of experimenting, we knew hopping an ale at five separate stages would produce something special. The result ended up being this gold-medal winning IPA, whose inspired use of hops creates hints of apricot, peach, mango and lemon flavors."
Swingin’ Friar Ale,Ballast Point,5.5,40,Pale Ale,https://ballastpoint.com/wp-content/uploads/2019/05/12oz_Can_Single-SFA-Front.png,"To help our hometown toast the San Diego Padres, we brewed a hoppy pale ale that would make any San Diegan proud. This 100% Simcoe hopped brew has aromas of citrus, peach, mellow berry, pine and grapefruit, complemented by a biscuity malt backbone and crisp finish. Named for the Padres’ iconic Friar mascot, this beer is sure to be a home run during baseball season and beyond."
Bacon and Eggs,Pizza Port,8.0,,Imperial Coffee Porter,https://s3-us-west-1.amazonaws.com/paradeigm-social/IPfNqTgSJeF7wZO5u8Cr_21-0804 PIZZA PORT Bacon-01.png,"With award-winning cold-pressed coffee from Bird Rock Roasters, this Coffee Porter is black in color with a khaki tan head. Strong coffee flavors with rich chocolate and roasted malts."
California Honey,Alesmith,4.8,,Blonde Ale,https://s3-us-west-1.amazonaws.com/paradeigm-social/aGFyBIw6TuWev4aVNgB7_Single-Can.png,"California Honey has been a Pizza Port favorite since the early days. Brewed with the addition of local California honey, this blonde ale is crisp and refreshing with a hint of sweetness and a smooth finish. We hope that you enjoy a taste of California with every sip... Cheers!"
Yeastie Boys,Necromancer Brewing,7.0,,French-Style Saisson,,"I don’t mean to brag. I don’t mean to boast, But I’m intercontinental When I eat drink French toast Saison. Pizza is for squares. Beer is for circles, When we team up with Iron Born, Yo. Where all the purple?"